molecule_chembl_id,activity_value_nm,standard_type,canonical_smiles,molecule_pref_name,standard_units,pchembl_value,log_activity,activity_class,activity_category,compound_name
CHEMBL10,1700.0,IC50,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,SB-203580,nM,4.02,3.230448921378274,0,Weakly Active,SB-203580
CHEMBL100714,2800.0,IC50,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,,nM,5.55,3.4471580313422194,0,Weakly Active,
CHEMBL1009,2880.0,IC50,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,LEVODOPA,nM,5.54,3.459392487759231,0,Weakly Active,LEVODOPA
CHEMBL101253,457.7,IC50,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,VATALANIB,nM,6.34,2.6605809124272994,1,Moderately Active,VATALANIB
CHEMBL101581,2500.0,IC50,COc1cc2nccc(Oc3cccc(Br)c3)c2cc1OC,,nM,5.6,3.3979400086720375,0,Weakly Active,
CHEMBL1016,3276.9,IC50,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CANDESARTAN,nM,5.49,3.5154631883732685,0,Weakly Active,CANDESARTAN
CHEMBL101683,7300.0,IC50,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,,nM,5.14,3.863322860120456,0,Weakly Active,
CHEMBL102651,419.0,IC50,C[C@@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,,nM,6.38,2.622214022966295,1,Moderately Active,
CHEMBL102726,320.0,IC50,c1ccc(CNc2ncnc3ccccc23)cc1,,nM,6.5,2.505149978319906,1,Moderately Active,
CHEMBL103014,538.0,IC50,C[C@@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1,,nM,6.27,2.7307822756663893,1,Moderately Active,
CHEMBL103552,4100.0,IC50,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,LAVENDUSTIN A,nM,5.39,3.6127838567197355,0,Weakly Active,LAVENDUSTIN A
CHEMBL103667,6400.0,Kd,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,DORAMAPIMOD,nM,5.16,3.806179973983887,0,Weakly Active,DORAMAPIMOD
CHEMBL103860,3300.0,IC50,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O,,nM,5.48,3.5185139398778875,0,Weakly Active,
CHEMBL103864,50.0,IC50,C[C@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,,nM,7.3,1.6989700043360187,1,Active,
CHEMBL104,69421.0,IC50,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CLOTRIMAZOLE,nM,4.16,4.841490865333001,0,Inactive,CLOTRIMAZOLE
CHEMBL104153,220.0,IC50,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,,nM,6.66,2.342422680822206,1,Moderately Active,
CHEMBL104244,210.0,IC50,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,,nM,6.68,2.322219294733919,1,Moderately Active,
CHEMBL104466,3700.0,IC50,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,,nM,5.43,3.568201724066995,0,Weakly Active,
CHEMBL104779,910.0,IC50,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,,nM,6.04,2.9590413923210934,1,Moderately Active,
CHEMBL105053,6.65,IC50,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,,nM,8.0,0.8228216453031046,1,Very Active,
CHEMBL105436,5150.0,IC50,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,,nM,6.52,3.711807229041191,0,Weakly Active,
