ChEMBL_ID,SMILES,EGFR_Probability,Confidence_Level,Drug_Likeness_Score
CHEMBL558354,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(S)OCC(O)COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(S)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2CO)[C@H]1O,0.9876712560653687,Very High,0.3950685024261475
CHEMBL559353,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](SCCCCCSCCCOCCC[Si](CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)CCC[Si](CCC[Si](CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(CCC[Si](CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)CCC[Si](CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(CCCOCCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)CCCOCCSCCCCCS[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1O,0.9518582820892334,Very High,0.3807433128356934
CHEMBL4787549,O=C(NC(COCc1cn(CCCc2cn(C[C@@H]3NC[C@@H](O)[C@H]3O)nn2)nn1)(COCc1cn(CCCc2cn(C[C@@H]3NC[C@@H](O)[C@H]3O)nn2)nn1)COCc1cn(CCCc2cn(C[C@@H]3NC[C@@H](O)[C@H]3O)nn2)nn1)c1cc(C(=O)NC(COCc2cn(CCCc3cn(C[C@@H]4NC[C@@H](O)[C@H]4O)nn3)nn2)(COCc2cn(CCCc3cn(C[C@@H]4NC[C@@H](O)[C@H]4O)nn3)nn2)COCc2cn(CCCc3cn(C[C@@H]4NC[C@@H](O)[C@H]4O)nn3)nn2)cc(C(=O)NC(COCc2cn(CCCc3cn(C[C@@H]4NC[C@@H](O)[C@H]4O)nn3)nn2)(COCc2cn(CCCc3cn(C[C@@H]4NC[C@@H](O)[C@H]4O)nn3)nn2)COCc2cn(CCCc3cn(C[C@@H]4NC[C@@H](O)[C@H]4O)nn3)nn2)c1,0.9476882219314575,Very High,0.379075288772583
CHEMBL2413499,Cc1cn([C@H]2C[C@H](O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](CCc4cn(-c5ccccc5)nn4)C[C@@H]3OP(=O)(O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)[C@@H](CO)O2)c(=O)[nH]c1=O,0.9307169914245605,Very High,0.3722867965698242
CHEMBL1094573,CSCCc1nc(N)nc2c1ncn2CC[C@H]1C[C@H](OP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2OP(CCC#N)N(C(C)C)C(C)C)[C@@H](COP(=O)(O)O[C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2CO)O1,0.9300631880760193,Very High,0.37202527523040774
CHEMBL527659,COC[C@H]1O[C@H]2[C@H](n3cc(C)c(N)nc3=O)O[C@]1(COP(O)(=S)O[C@H]1[C@H]3O[C@H](COC)[C@]1(COP(O)(=S)O[C@H]1C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4cnc5c4N=CNC5N)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4ccc(N)nc4=O)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4cnc5c(N)ncnc54)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4ccc(N)nc4=O)O[C@@H]1COP(O)(=S)O[C@H]1C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]1COP(O)(=S)O[C@H]1[C@@H](O)[C@H](n4ccc(N)nc4=O)O[C@@H]1COP(O)(=S)O[C@H]1[C@H]4O[C@H](COC)[C@]1(COP(O)(=S)O[C@H]1[C@H]5O[C@H](COC)[C@]1(CO)O[C@H]5n1ccc(=O)[nH]c1=O)O[C@H]4n1cc(C)c(N)nc1=O)O[C@H]3n1ccc(=O)[nH]c1=O)[C@H]2O,0.9069831967353821,Very High,0.36279327869415284
CHEMBL1076539,COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n2cc(C)c(=O)[nH]c2=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@H]2NC[C@]1(COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(N)nc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n3ccc(N)nc3=O)O[C@@H]1COP(=O)(O)O[C@H]1[C@H]3OC[C@]1(COP(=O)(O)O[C@H]1[C@@H](O)[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]1CO)O[C@H]3n1cnc3c(=O)[nH]c(N)nc31)O[C@H]2n1cc(C)c(=O)[nH]c1=O,0.900942325592041,Very High,0.36037693023681644
CHEMBL149119,CC[N+](CC)(CC)CCCCCC[N+](CC)(CC)CCCCCC[N+](CC)(CC)CC.[Br-].[Br-].[Br-],0.8883069157600403,High,0.35532276630401616
CHEMBL5193149,COc1cc(N2CCC(N3CC[C@H](N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.8828926682472229,High,0.3531570672988892
CHEMBL3350755,Cc1cn([C@H]2C[C@H](O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](CCc4cn(-c5cc(NC(N)=O)cc(NC(N)=O)c5)nn4)C[C@@H]3OP(=O)(O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O[PH](OCCC#N)(OC(C)[C@H]3O[C@@H](n4ccc(N)nc4=O)C[C@@H]3O[PH](OCCC#N)(OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3O)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)N(C(C)C)C(C)C)[C@@H](CO)O2)c(=O)[nH]c1=O,0.8800413012504578,High,0.3520165205001831
